#begin document (story100.txt); part 000
story100.txt	tok_No	Token			POS			Coreference
story100.txt	6    	ఆతిథ్యము                         	NN        	B-NP    			ఆతిథ్యం,n                        	-     
story100.txt	6a   	ఇవ్వడం                          	VM        	B-VGNF  			ఇవ్వు,v                         	-     
story100.txt	7    	ఇదే                            	PRP       	B-NP    			ఇది,pn                         	-     
story100.txt	8    	తొలిసారి                          	NN        	I-NP    			తొలిసారి,n                        	-     
story100.txt	9    	.                   	SYM       	I-NP    			&dot;,punc                    	-     

story100.txt	0    	ఈ                             	DEM       	B-NP    			ఈ,avy                         	(1
story100.txt	1    	ఆట                            	NN        	I-NP    			ఆట,n                          	1
story100.txt	2    	,                   	SYM       	I-NP    			&comma;,punc                  	1)
story100.txt	3    	దాని                            	PRP       	B-NP    			అది,pn                         	(1)
story100.txt	4    	జన్మస్థలం         	NN        	I-NP    			జన్మస్థలం,n                      	-     
story100.txt	5    	నుండి                            	PSP       	I-NP    			నుండి,avy                        	-     
story100.txt	6    	,                   	SYM       	I-NP    			&comma;,punc                  	-     
story100.txt	7    	ప్రపంచవ్యాప్తంగా                     	RB        	B-RBP   			ప్రపంచవ్యాప్తం,n                    	-     
story100.txt	8    	వ్యాపించి                          	VM        	B-VGF   			వ్యాపించు,v                        	-     
story100.txt	9    	,                   	SYM       	I-VGF   			&comma;,punc                  	-     
story100.txt	10   	ఒక                            	JJ        	B-NP    			ఒక,adj                        	-     
story100.txt	11   	ముద్ర                           	NN        	I-NP    			ముద్ర,n                         	-     
story100.txt	12   	వేసినందుకు                         	VM        	B-VGNF  			వెయ్యి,v                         	-     
story100.txt	13   	మేము                            	PRP       	B-NP    			మేము,pn                         	(2)
story100.txt	14   	గర్విస్తున్నాము                      	VM        	B-VGF   			గర్వించు,v                        	-     
story100.txt	15   	.                   	SYM       	I-VGF   			&dot;,punc                    	-     

story100.txt	0    	ఈ                             	DEM       	B-NP    			ఈ,avy                         	(1
story100.txt	1    	ఆట                            	NN        	I-NP    			ఆట,n                          	1)
story100.txt	2    	ప్రస్తుతం                         	NN        	B-NP    			ప్రస్తుతం,n                       	-     
story100.txt	3    	అనేక                           	JJ        	B-NP    			అనేక,adj                       	-     
story100.txt	4    	దేశాలలో                          	NN        	I-NP    			దేశం,n                          	-     
story100.txt	5    	ఆసక్తిని                         	NN        	B-NP    			ఆసక్తి,n                        	-     
story100.txt	6    	రేకెత్తించింది         	VM        	B-VGF   			రేకెత్తించు,v                       	-     
story100.txt	7    	.                   	SYM       	I-VGF   			&dot;,punc                    	-     

story100.txt	0    	చదరంగం                          	NN        	B-NP    			చదరంగం,n                        	(1)
story100.txt	1    	ఇప్పుడు                          	NST       	B-NP    			ఇప్పుడు,adv                      	-     
story100.txt	2    	దాని                            	PRP       	B-NP    			అది,pn                         	(1)
story100.txt	3    	జన్మస్థలంలో                       	NN        	I-NP    			జన్మస్థలం,n                      	-     
story100.txt	4    	ఒక                            	JJ        	B-NP    			ఒక,adj                        	-     
story100.txt	5    	అంతర్జాతీయ         	NN        	I-NP    			అంతర్జాతీయం,n                      	-     
story100.txt	6    	కార్యక్రమంగా                       	RB        	B-RBP   			కార్యక్రమం,n                      	-     
story100.txt	7    	జరుపుకుంటున్నందుకు                     	VM        	B-VGNF  			జరుపు,v                         	-     
story100.txt	8    	మేము                            	PRP       	B-NP    			మేము,pn                         	(2)
story100.txt	9    	గర్విస్తున్నాము                      	VM        	B-VGF   			గర్వించు,v                        	-     
story100.txt	10   	.                   	SYM       	I-VGF   			&dot;,punc                    	-     

story100.txt	0    	ఈ                             	DEM       	B-NP    			ఈ,avy                         	(1
story100.txt	1    	ఆట                            	NN        	I-NP    			ఆట,n                          	1)
story100.txt	2    	చాలా                            	QF        	B-NP    			చాలా,avy                        	-     
story100.txt	3    	సంవత్సరాల         	NN        	I-NP    			సంవత్సరం,n                       	-     
story100.txt	4    	క్రితం                           	NN        	B-NP    			క్రితం,adv                       	-     
story100.txt	5    	&apos;చదరంగం          	NN        	B-NP    			&పోస్;చదరంగం,unk                  	(1)
story100.txt	6    	&                   	SYM       	I-NP    			&amp;,punc                    	-     
story100.txt	6a   	అపోస్                           	NN        	B-NP    			అపోస్,unk                       	-     
story100.txt	6b   	;                   	SYM       	I-NP    			&scol;,punc                   	-     
story100.txt	7    	రూపంలో                           	NN        	B-NP    			రూపం,n                          	-     
story100.txt	8    	ప్రపంచవ్యాప్తంగా                     	RB        	B-RBP   			ప్రపంచవ్యాప్తం,n                    	-     
story100.txt	9    	పర్యటించింది         	VM        	B-VGF   			పర్యటించు,v                       	-     
story100.txt	10   	.                   	SYM       	I-VGF   			&dot;,punc                    	-     

story100.txt	0    	ప్రస్తుతం                         	NN        	B-NP    			ప్రస్తుతం,n                       	-     
story100.txt	1    	,                   	SYM       	I-NP    			&comma;,punc                  	-     
story100.txt	2    	చెస్                            	NN        	B-NP    			చెస్,n                          	-     
story100.txt	3    	ఒలింపియాడ్                         	NN        	B-NP    			ఒలింపియాడ్,unk                     	-     
story100.txt	4    	టోర్నమెంట్                         	NN        	B-NP    			టోర్నమెంట్,n                       	-     
story100.txt	5    	యొక్క                           	PSP       	I-NP    			యొక్క,avy                       	-     
story100.txt	6    	జ్వాల                           	NN        	B-NP    			జ్వాల,n                         	-     
story100.txt	7    	ప్రపంచంలోని         	NN        	B-NP    			ప్రపంచం,n                        	-     
story100.txt	8    	అనేక                           	JJ        	B-NP    			అనేక,adj                       	-     
story100.txt	9    	దేశాలకు                          	NN        	I-NP    			దేశం,n                          	-     
story100.txt	10   	ప్రయాణిస్తుంది                       	VM        	B-VGF   			ప్రయాణించు,v                       	-     
story100.txt	11   	.                   	SYM       	I-VGF   			&dot;,punc                    	-     

story100.txt	0    	భారత                           	NNP       	B-NP    			భారతం,n                         	-     
story100.txt	1    	దేశానికి                          	NN        	B-NP    			దేశం,n                          	-     
story100.txt	2    	స్వాతంత్ర్యం         	NN        	B-NP    			స్వాతంత్ర్యం,n                      	-     
story100.txt	3    	వచ్చి                           	VM        	B-VGNF  			వచ్చు,v                         	-     
story100.txt	4    	75                  	QC        	B-NP    			75,num                        	-     
story100.txt	5    	ఏళ్లు                           	NN        	I-NP    			ఏడు,n                          	-     
story100.txt	6    	పూర్తైన                          	JJ        	B-RBP   			పూర్తవ్వు,v                       	-     
story100.txt	7    	సందర్భంగా                         	RB        	I-RBP   			సందర్భం,n                        	-     
story100.txt	8    	చెస్                            	NN        	B-NP    			చెస్,n                          	-     
story100.txt	9    	ఒలింపియాడ్                         	NN        	B-NP    			ఒలింపియాడ్,unk                     	-     
story100.txt	10   	టార్చ్                           	NN        	B-NP    			టార్చ్,n                         	-     
story100.txt	11   	75                  	QC        	B-NP    			75,num                        	-     
story100.txt	12   	నగరాల్లో                         	NN        	I-NP    			నగరం,n                         	-     
story100.txt	13   	పర్యటిస్తోంది                       	VM        	B-VGF   			పర్యటించు,v                       	-     
story100.txt	14   	.                   	SYM       	I-VGF   			&dot;,punc                    	-     

story100.txt	0    	ఇక                            	RP        	B-NP    			ఇక,avy                        	(2
story100.txt	1    	నుంచి                            	PSP       	I-NP    			నుంచి,avy                        	2
story100.txt	2    	,                   	SYM       	I-NP    			&comma;,punc                  	2
story100.txt	3    	ప్రతి                           	JJ        	B-NP    			ప్రతి,adj                       	2
story100.txt	4    	చదరంగం                          	NN        	I-NP    			చదరంగం,n                        	2
story100.txt	5    	ఒలింపియాడ్                         	NN        	B-NP    			ఒలింపియాడ్,unk                     	2
story100.txt	6    	యొక్క                           	PSP       	I-NP    			యొక్క,avy                       	2
story100.txt	7    	టార్చ్                           	NN        	B-NP    			టార్చ్,n                         	2
story100.txt	8    	రన్                            	NNP       	B-NP    			రన్,n                          	2
story100.txt	9    	భారతదేశం                         	NNP       	I-NP    			భారతదేశం,n                       	2
story100.txt	10   	నుండే                            	PSP       	I-NP    			నుండి,avy                        	2
story100.txt	11   	ప్రారంభమవుతుందని                     	VM        	B-VGF   			ప్రారంభమవ్వు,v                     	2
story100.txt	12   	అని                            	UT        	B-BLK   			అని,avy                        	2|(5)
story100.txt	12a  	ఇంటర్నేషనల్                       	NN        	B-NP    			ఇంటర్నేషనల్,n                     	(5|2
story100.txt	13   	చెస్                            	NN        	B-NP    			చెస్,n                          	5|2
story100.txt	14   	ఫెడరేషన్                         	NN        	B-NP    			ఫెడరేషన్,n                       	5)|2
story100.txt	15   	తీసుకున్న                         	VM        	B-VGNF  			తీసుకో,v                         	2
story100.txt	16   	నిర్ణయం                          	NN        	B-NP    			నిర్ణయం,n                        	2
story100.txt	17   	పట్ల                           	PSP       	I-NP    			పట్ల,avy                       	2
story100.txt	18   	నేను                            	PRP       	B-NP    			నేను,pn                         	2
story100.txt	19   	సంతోషిస్తున్నాను                      	VM        	B-VGF   			సంతోషించు,v                        	2
story100.txt	20   	.                   	SYM       	I-VGF   			&dot;,punc                    	2)

story100.txt	0    	ఇది                            	PRP       	B-NP    			ఇది,pn                         	(4)
story100.txt	1    	భారతదేశానికి                       	NNP       	B-NP    			భారతదేశం,n                       	-     
story100.txt	2    	దక్కిన                          	VM        	B-VGNF  			దక్కు,v                         	-     
story100.txt	3    	గౌరవం                           	NN        	B-NP    			గౌరవం,n                         	-     
story100.txt	4    	మాత్రమే                          	PSP       	I-NP    			మాత్రమే,avy                      	-     
story100.txt	5    	కాదు                            	VM        	B-VGF   			అవ్వు,v                         	-     
story100.txt	6    	,                   	SYM       	I-VGF   			&comma;,punc                  	-     
story100.txt	7    	సంప్రదాయ                         	NN        	B-NP    			సంప్రదాయం,n                       	-     
story100.txt	8    	చదరంగానికి         	VM        	B-VGNN  			చదరంగం,n                        	-     
story100.txt	9    	కూడా                            	PSP       	I-VGNN  			కూడా,avy                        	-     
story100.txt	10   	దక్కిన                          	VM        	B-VGNN  			దక్కు,v                         	-     
story100.txt	11   	గౌరవం                           	NN        	B-NP    			గౌరవం,n                         	-     
story100.txt	12   	.                   	SYM       	I-NP    			&dot;,punc                    	-     

story100.txt	0    	ఈ                             	DEM       	B-NP    			ఈ,avy                         	(4
story100.txt	1    	నిర్ణ                           	NN        	I-NP    			నిర్ణ,unk                       	4
story100.txt	2    	యం                             	NN        	B-NP    			యం,unk                         	4)
story100.txt	3    	తీసుకున్నందుకు                       	VM        	B-VGNF  			తీసుకో,v                         	-     
story100.txt	4    	అంత                            	QF        	B-NP    			అంత,adj                        	-     
story100.txt	5    	ర్జాతీయ                          	NN        	I-NP    			ర్జాతీయ,n                        	-     
story100.txt	6    	చదరంగ                          	VM        	B-VGNF  			చదరంగం,n                        	-     
story100.txt	7    	సమాఖ్య                          	NN        	B-NP    			సమాఖ్య,n                        	-     
story100.txt	8    	కు                             	NN        	B-NP    			క్,n                           	-     
story100.txt	9    	,                   	SYM       	I-NP    			&comma;,punc                  	-     
story100.txt	10   	దాని                            	PRP       	B-NP    			అది,pn                         	(5)
story100.txt	11   	స                             	NN        	I-NP    			స,n                           	-     
story100.txt	12   	భ్యుల                           	NN        	B-NP    			భ్యుల,unk                       	-     
story100.txt	13   	కు                             	PSP       	I-NP    			కు,avy                         	-     
story100.txt	14   	నా                             	PRP       	B-NP    			నేను,pn                         	(2)
story100.txt	15   	హృద                            	NN        	I-NP    			హృద,unk                        	-     
story100.txt	16   	య                             	NN        	B-NP    			య,unk                         	-     
story100.txt	17   	పూర్వ                           	NN        	B-NP    			పూర్వం,n                         	-     
story100.txt	18   	క                             	NN        	B-NP    			క్,avy                         	-     
story100.txt	19   	అభిని                           	NN        	B-NP    			అభిని,n                         	-     
story100.txt	19a  	అంద                            	NN        	B-NP    			అందం,n                          	-     
story100.txt	20   	న                             	NN        	B-NP    			న,avy                         	-     
story100.txt	21   	లు                             	RP        	I-NP    			లు,avy                         	-     
story100.txt	22   	.                   	SYM       	I-NP    			&dot;,punc                    	-     

story100.txt	0    	44                  	QC        	B-NP    			44,num                        	-     
story100.txt	0a   	వ                             	NN        	I-NP    			వ,avy                         	-     
story100.txt	1    	చెస్                            	NN        	B-NP    			చెస్,n                          	(1
story100.txt	2    	ఒలింపియాడ్                         	NN        	B-NP    			ఒలింపియాడ్,unk                     	1
story100.txt	3    	లో                             	PSP       	I-NP    			లో,avy                         	1)
story100.txt	4    	పాల్గొంటున్న         	VM        	B-VGNF  			పాల్గొను,v                        	-     
story100.txt	5    	క్రీడాకారుల         	NN        	B-NP    			క్రీడాకారుడు,n                      	(3)
story100.txt	5a   	అందరినీ                          	PRP       	B-NP    			అందరు,pn                        	(3)
story100.txt	6    	నేను                            	PRP       	B-NP    			నేను,pn                         	(2)
story100.txt	7    	అభినందిస్తున్నాను                     	VM        	B-VGF   			అభినందించు,v                       	-     
story100.txt	8    	.                   	SYM       	I-VGF   			&dot;,punc                    	-     

story100.txt	0    	ఈ                             	DEM       	B-NP    			ఈ,avy                         	(1
story100.txt	1    	మ్యాచ్                           	NN        	I-NP    			మ్యాచ్,n                         	1
story100.txt	2    	లో                             	PSP       	I-NP    			లో,avy                         	1)
story100.txt	3    	ఎవరు                           	WQ        	B-NP    			ఎవరు,pn                        	(3)
story100.txt	4    	గెలుస్తారు                         	VM        	B-VGF   			గెలువు,v                         	-     
story100.txt	4a   	అనేది                           	VM        	B-VGNF  			అనేది,pn                        	-     
story100.txt	5    	ముఖ్యం                           	NN        	B-NP    			ముఖ్యం,n                         	-     
story100.txt	6    	కాదు                            	VM        	B-VGF   			అవ్వు,v                         	-     
story100.txt	7    	.                   	SYM       	I-VGF   			&dot;,punc                    	-     

story100.txt	0    	ఎవరు                           	WQ        	B-NP    			ఎవరు,pn                        	(3)
story100.txt	1    	గెలిచినా                          	VM        	B-VGF   			గెలువు,v                         	-     
story100.txt	2    	,                   	SYM       	I-VGF   			&comma;,punc                  	-     
story100.txt	3    	ఇది                            	PRP       	B-NP    			ఇది,pn                         	-     
story100.txt	4    	ఈ                             	DEM       	B-NP    			ఈ,avy                         	(1
story100.txt	5    	ఆట                            	NN        	I-NP    			ఆట,n                          	1)
story100.txt	6    	యొక్క                           	PSP       	B-BLK   			యొక్క,avy                       	-     
story100.txt	7    	విజయం                           	NN        	B-NP    			విజయం,n                         	-     
story100.txt	8    	.                   	SYM       	I-NP    			&dot;,punc                    	-     

story100.txt	0    	మామల్లపురంలో                       	NN        	B-NP    			మామల్లపురం,n                      	-     
story100.txt	1    	జరిగే                           	VM        	B-VGNF  			జరుగు,v                         	-     
story100.txt	2    	ఆటలో                           	NN        	B-NP    			ఆట,n                          	-     
story100.txt	3    	మీరందరూ                          	NN        	B-NP    			మీరందరూ,unk                      	-     
story100.txt	4    	ఎంతో                            	INTF      	B-NP    			ఎంతో,avy                        	-     
story100.txt	5    	ఉత్సాహంతో                         	NN        	I-NP    			ఉత్సాహం,n                        	-     
story100.txt	6    	ఆడతారని                         	VM        	B-VGF   			ఆడు,v                          	-     
story100.txt	7    	అని                            	UT        	B-BLK   			అని,avy                        	(2)
story100.txt	7a   	నేను                            	PRP       	B-NP    			నేను,pn                         	(2)
story100.txt	8    	ఖచ్చితంగా                         	RB        	B-RBP   			ఖచ్చితం,n                        	-     
story100.txt	9    	అనుకుంటున్నాను                       	VM        	B-VGF   			అనుకో,v                         	-     
story100.txt	10   	.                   	SYM       	I-VGF   			&dot;,punc                    	-     

story100.txt	0    	22                  	QC        	B-NP    			22,num                        	-     

story100.txt	0    	23                  	QC        	B-NP    			23,num                        	-     

story100.txt	0    	24                  	QC        	B-NP    			24,num                        	-     

story100.txt	0    	25                  	QC        	B-NP    			25,num                        	-     

story100.txt	0    	26                  	QC        	B-NP    			26,num                        	-     

story100.txt	0    	27                  	QC        	B-NP    			27,num                        	-     

story100.txt	0    	28                  	QC        	B-NP    			28,num                        	-     

story100.txt	0    	29                  	QC        	B-NP    			29,num                        	-     

story100.txt	0    	30                  	QC        	B-NP    			30,num                        	-     

story100.txt	0    	31                  	QC        	B-NP    			31,num                        	-     

story100.txt	0    	32                  	QC        	B-NP    			32,num                        	-     

story100.txt	0    	33                  	QC        	B-NP    			33,num                        	-     

story100.txt	0    	34                  	QC        	B-NP    			34,num                        	-     

story100.txt	0    	35                  	QC        	B-NP    			35,num                        	-     

story100.txt	0    	36                  	QC        	B-NP    			36,num                        	-     

story100.txt	0    	37                  	QC        	B-NP    			37,num                        	-     

story100.txt	0    	38                  	QC        	B-NP    			38,num                        	-     

story100.txt	0    	39                  	QC        	B-NP    			39,num                        	-     

story100.txt	0    	40                  	QC        	B-NP    			40,num                        	-     

story100.txt	0    	41                  	QC        	B-NP    			41,num                        	-     

story100.txt	0    	42                  	QC        	B-NP    			42,num                        	-     

story100.txt	0    	43                  	QC        	B-NP    			43,num                        	-     

story100.txt	0    	44                  	QC        	B-NP    			44,num                        	-     

story100.txt	0    	45                  	QC        	B-NP    			45,num                        	-     

story100.txt	0    	46                  	QC        	B-NP    			46,num                        	-     

story100.txt	0    	47                  	QC        	B-NP    			47,num                        	-     

story100.txt	0    	48                  	QC        	B-NP    			48,num                        	-     

story100.txt	0    	49                  	QC        	B-NP    			49,num                        	-     

story100.txt	0    	50                  	QC        	B-NP    			50,num                        	-     

story100.txt	0    	51                  	QC        	B-NP    			51,num                        	-     

story100.txt	0    	52                  	QC        	B-NP    			52,num                        	-     

story100.txt	0    	53                  	QC        	B-NP    			53,num                        	-     

story100.txt	0    	54                  	QC        	B-NP    			54,num                        	-     

story100.txt	0    	55                  	QC        	B-NP    			55,num                        	-     

story100.txt	0    	56                  	QC        	B-NP    			56,num                        	-     

story100.txt	0    	57                  	QC        	B-NP    			57,num                        	-     

story100.txt	0    	58                  	QC        	B-NP    			58,num                        	-     

story100.txt	0    	59                  	QC        	B-NP    			59,num                        	-     

story100.txt	0    	60                  	QC        	B-NP    			60,num                        	-     

story100.txt	0    	61                  	QC        	B-NP    			61,num                        	-     

story100.txt	0    	62                  	QC        	B-NP    			62,num                        	-     

story100.txt	0    	63                  	QC        	B-NP    			63,num                        	-     

story100.txt	0    	64                  	QC        	B-NP    			64,num                        	-     

story100.txt	0    	65                  	QC        	B-NP    			65,num                        	-     

story100.txt	0    	66                  	QC        	B-NP    			66,num                        	-     

story100.txt	0    	67                  	QC        	B-NP    			67,num                        	-     

story100.txt	0    	68                  	QC        	B-NP    			68,num                        	-     

story100.txt	0    	69                  	QC        	B-NP    			69,num                        	-     

story100.txt	0    	70                  	QC        	B-NP    			70,num                        	-     

story100.txt	0    	71                  	QC        	B-NP    			71,num                        	-     

story100.txt	0    	72                  	QC        	B-NP    			72,num                        	-     

story100.txt	0    	73                  	QC        	B-NP    			73,num                        	-     

story100.txt	0    	74                  	QC        	B-NP    			74,num                        	-     

story100.txt	0    	75                  	QC        	B-NP    			75,num                        	-     

story100.txt	0    	76                  	QC        	B-NP    			76,num                        	-     

story100.txt	0    	77                  	QC        	B-NP    			77,num                        	-     

story100.txt	0    	78                  	QC        	B-NP    			78,num                        	-     

story100.txt	0    	79                  	QC        	B-NP    			79,num                        	-     

